wavenumber,II1,III11,IV1
4000.364384,99.146024,99.437867,99.418241
3998.435568,99.156637,99.424602,99.40187
3996.506752,99.089328,99.375681,99.321543
3994.577936,99.052771,99.335382,99.300002
3992.64912,99.080651,99.344187,99.316787
3990.720304,99.125911,99.390638,99.354302
3988.791488,99.179582,99.418542,99.386962
3986.862672,99.183597,99.415842,99.377454
3984.933856,99.156005,99.418495,99.339119
3983.00504,99.157405,99.416379,99.308601
3981.076224,99.163982,99.423504,99.312319
3979.147408,99.159349,99.424986,99.344861
3977.218592,99.141927,99.420687,99.325904
3975.289776,99.13868,99.41968,99.321257
3973.36096,99.124074,99.40894,99.333598
3971.432144,99.140856,99.421089,99.326869
3969.503328,99.149866,99.437013,99.325422
3967.574512,99.175879,99.462032,99.330545
3965.645696,99.181374,99.453542,99.356252
3963.71688,99.158355,99.434417,99.374136
3961.788064,99.128373,99.43627,99.348843
3959.859248,99.134277,99.425959,99.31799
3957.930432,99.158204,99.427249,99.336534
3956.001616,99.174538,99.430962,99.313144
3954.0728,99.17085,99.459666,99.32667
3952.143984,99.175885,99.462897,99.379021
3950.215168,99.161209,99.401395,99.336768
3948.286352,99.133124,99.377545,99.279882
3946.357536,99.133497,99.403506,99.280921
3944.42872,99.141337,99.400953,99.270179
3942.499904,99.169853,99.416451,99.29901
3940.571088,99.181583,99.438073,99.347326
3938.642272,99.175697,99.449683,99.327852
3936.713456,99.147368,99.447218,99.340443
3934.78464,99.120848,99.416542,99.311176
3932.855824,99.082489,99.34998,99.220304
3930.927008,99.077115,99.330546,99.187725
3928.998192,99.06679,99.33987,99.198326
3927.069376,99.093272,99.397212,99.246
3925.14056,99.123281,99.414371,99.235689
3923.211744,99.155317,99.431395,99.215189
3921.282928,99.164262,99.459525,99.255383
3919.354112,99.152994,99.466676,99.313552
3917.425296,99.138611,99.408603,99.287105
3915.49648,99.107092,99.369997,99.247656
3913.567664,99.161992,99.491748,99.317237
3911.638848,99.21223,99.555868,99.393774
3909.710032,99.225765,99.517361,99.418712
3907.781216,99.195961,99.469185,99.351737
3905.8524,99.152071,99.369674,99.201074
3903.923584,99.080043,99.236955,98.982029
3901.994768,99.066238,99.237019,98.927479
3900.065952,99.103726,99.325901,99.001261
3898.137136,99.118157,99.338754,99.081232
3896.20832,99.156107,99.416755,99.177773
3894.279504,99.157131,99.475995,99.230069
3892.350688,99.141409,99.457957,99.206588
3890.421872,99.165183,99.425543,99.175596
3888.493056,99.185538,99.416717,99.194397
3886.56424,99.119876,99.361616,99.165367
3884.635424,99.066532,99.301704,99.099917
3882.706608,99.086918,99.34562,99.068149
3880.777792,99.106268,99.377647,99.052456
3878.848976,99.146424,99.392706,99.160516
3876.92016,99.172623,99.448184,99.252004
3874.991344,99.127976,99.399474,99.234788
3873.062528,99.123189,99.355675,99.204561
3871.133712,99.077052,99.308757,99.078622
3869.204896,99.066635,99.301552,99.031132
3867.27608,99.132142,99.309827,99.041531
3865.347264,99.116231,99.255982,98.994298
3863.418448,99.091659,99.280069,99.036426
3861.489632,99.147095,99.357152,99.180005
3859.560816,99.203427,99.393778,99.266974
3857.632,99.172745,99.381927,99.252407
3855.703184,99.179915,99.328056,99.202876
3853.774368,99.190255,99.240538,99.041939
3851.845552,99.105928,99.221068,98.867516
3849.916736,99.157362,99.304254,98.986049
3847.98792,99.236814,99.422123,99.20467
3846.059104,99.214312,99.432813,99.279431
3844.130288,99.192604,99.434642,99.272093
3842.201472,99.173985,99.428274,99.218479
3840.272656,99.09808,99.311631,99.047222
3838.34384,99.080644,99.297601,98.951926
3836.415024,99.135423,99.383554,99.019743
3834.486208,99.127128,99.391582,99.094902
3832.557392,99.119709,99.362615,99.114147
3830.628576,99.153487,99.378044,99.13231
3828.69976,99.175513,99.438046,99.179159
3826.770944,99.168652,99.429691,99.173748
3824.842128,99.186594,99.447962,99.200973
3822.913312,99.167606,99.413858,99.160758
3820.984496,99.08702,99.280986,99.018995
3819.05568,99.088184,99.257086,98.987793
3817.126864,99.087143,99.306142,99.06169
3815.198048,99.142812,99.390144,99.165713
3813.269232,99.213228,99.496496,99.303777
