wavenumber,AKD-TPS_20,K2S2O8-starch1
4000.364384,101.205876,100.830689
3998.435568,101.163102,100.806908
3996.506752,101.148864,100.76988
3994.577936,101.139305,100.768978
3992.64912,101.149749,100.748567
3990.720304,101.158475,100.736687
3988.791488,101.129647,100.743704
3986.862672,101.124537,100.761856
3984.933856,101.162216,100.807934
3983.00504,101.164015,100.787356
3981.076224,101.153567,100.746082
3979.147408,101.113114,100.740413
3977.218592,101.094071,100.744495
3975.289776,101.103747,100.746582
3973.36096,101.103329,100.757346
3971.432144,101.108323,100.758945
3969.503328,101.109754,100.775592
3967.574512,101.087858,100.761553
3965.645696,101.086918,100.74106
3963.71688,101.072552,100.698245
3961.788064,101.043743,100.691398
3959.859248,101.027225,100.715801
3957.930432,101.001571,100.714183
3956.001616,101.016092,100.689653
3954.0728,101.034922,100.710254
3952.143984,101.019126,100.710363
3950.215168,100.968267,100.691648
3948.286352,100.917761,100.662569
3946.357536,100.887758,100.627772
3944.42872,100.920838,100.633077
3942.499904,100.917763,100.619789
3940.571088,100.967302,100.613152
3938.642272,101.048429,100.681265
3936.713456,101.115094,100.752302
3934.78464,101.116192,100.751143
3932.855824,101.02782,100.665295
3930.927008,100.907576,100.590932
3928.998192,100.903381,100.606834
3927.069376,100.91254,100.62984
3925.14056,100.877597,100.583181
3923.211744,100.884446,100.607242
3921.282928,100.884229,100.638037
3919.354112,100.873941,100.63041
3917.425296,100.827174,100.603333
3915.49648,100.843197,100.617967
3913.567664,100.927108,100.645465
3911.638848,101.003733,100.7018
3909.710032,101.062079,100.765914
3907.781216,101.021585,100.736753
3905.8524,100.859968,100.602621
3903.923584,100.624604,100.44847
3901.994768,100.407637,100.327779
3900.065952,100.345185,100.33118
3898.137136,100.478744,100.440113
3896.20832,100.686464,100.531404
3894.279504,100.764133,100.542153
3892.350688,100.738308,100.530105
3890.421872,100.779463,100.645616
3888.493056,100.803098,100.645311
3886.56424,100.769136,100.513596
3884.635424,100.713322,100.534509
3882.706608,100.619583,100.487922
3880.777792,100.531654,100.410453
3878.848976,100.639324,100.519457
3876.92016,100.79712,100.607323
3874.991344,100.827544,100.57216
3873.062528,100.744123,100.518499
3871.133712,100.611862,100.396001
3869.204896,100.565579,100.436437
3867.27608,100.552253,100.464553
3865.347264,100.505271,100.383014
3863.418448,100.542836,100.409517
3861.489632,100.637335,100.478579
3859.560816,100.763428,100.557523
3857.632,100.792183,100.554659
3855.703184,100.744794,100.480691
3853.774368,100.488395,100.291319
3851.845552,100.28104,100.24549
3849.916736,100.406759,100.363629
3847.98792,100.65683,100.521292
3846.059104,100.839267,100.62863
3844.130288,100.833374,100.576501
3842.201472,100.690493,100.463811
3840.272656,100.493442,100.364826
3838.34384,100.387765,100.299752
3836.415024,100.397538,100.334984
3834.486208,100.488899,100.422095
3832.557392,100.587414,100.465077
3830.628576,100.666993,100.514198
3828.69976,100.690759,100.501031
3826.770944,100.689364,100.511374
3824.842128,100.676718,100.506004
3822.913312,100.61319,100.420917
3820.984496,100.50418,100.406611
3819.05568,100.414239,100.387949
3817.126864,100.404253,100.314779
3815.198048,100.497306,100.450356
3813.269232,100.629433,100.560131
3811.340416,100.803245,100.646017
3809.4116,100.933011,100.686443
3807.482784,100.934623,100.645058
3805.553968,100.753345,100.566237
3803.625152,100.540384,100.446937
3801.696336,100.491104,100.414951
3799.76752,100.514802,100.441385
3797.838704,100.51633,100.418957
3795.909888,100.635689,100.495456
3793.981072,100.78919,100.61756
3792.052256,100.927463,100.725019
3790.12344,100.992987,100.748486
3788.194624,100.998157,100.708488
